#,Company,Ask for,Phone,Dial,Email,What this call is,Outcome,Notes
"1","Tri County Cleaning Systems","Rob Fountain (Owner)","(309) 266-5755","3092665755","info@tricounty-cleaning.com","fresh — never called","",""
"2","Vital Restoration","Timothy Brown (Owner)","(217) 679-0254","2176790254","","fresh — never called","",""
"3","Peerless Cleaning & Restoration","Wike family","(217) 423-7704","2174237704","","fresh — never called","",""
"4","Shadco Restoration & Reconstruction","Shadi Khair (Founder)","(314) 600-3001","3146003001","","fresh — never called","",""
"5","Water Damage Restoration Eldon","","(573) 226-0622","5732260622","","fresh — never called","",""
"6","STL Mold Removal","","(314) 936-4445","3149364445","","fresh — never called","",""
"7","U.S. Disaster Restoration","Samuel Hubbs UNVERIFIED, title conflict (Owner per one source, Manager per ZoomInfo; co-owner James S. Frisella also named)","(573) 552-1972","5735521972","","fresh — never called","",""
"8","Phoenix Renovation & Restoration","Brad Heise (CEO)","(913) 599-0055","9135990055","","fresh — never called","",""
"9","Sansara 24/7 Restoration & Remodeling","David Kosanke (Owner) UNVERIFIED","(636) 812-3838","6368123838","sales@sansara247.com","fresh — never called","",""
"10","Restoration Services (RestorationServicesKC)","","(816) 286-5835","8162865835","joe@restorationserviceskc.com","fresh — never called","",""
"11","Tri Cat Restoration","Jeff Glass (Owner) UNVERIFIED","(417) 200-2018","4172002018","tricatrestoration@gmail.com","fresh — never called","",""
"12","Repairs Unlimited (RUI Restoration)","Chris Santiago (CEO)","(913) 262-6937","9132626937","","fresh — never called","",""
"13","B.J.'s Restoration","","(309) 829-1500","3098291500","","fresh — never called","",""
"14","White Construction Co","","(217) 442-7594","2174427594","","fresh — never called","",""
"15","Restore & More","Mike (Owner)","(913) 247-4379","9132474379","","fresh — never called","",""
"16","Water Damage Pro of Edwardsville","","(618) 800-3633","6188003633","","fresh — never called","",""
"17","Simpson Restoration LLC","","(417) 759-5117","4177595117","","fresh — never called","",""
"18","Bryant Restoration","","(573) 366-6351","5733666351","","fresh — never called","",""
"19","Greene Planet","","(417) 415-4357","4174154357","","fresh — never called","",""
"20","Beadles Property Maintenance","","(417) 840-3330","4178403330","","fresh — never called","",""
"21","Pride Cleaning & Restoration","Jim Seubert (Owner)","(314) 668-1223","3146681223","jseubert@priderestoration.com","2nd call — got a gatekeeper, ask for Jim Seubert (Owner)","",""
"22","St. Louis Cleaning & Restoration","","(314) 439-1665","3144391665","","2nd call — already spoke to the owner","",""
"23","Smoke Services Restoration","","(618) 234-9696","6182349696","","redial — no answer last time","",""
"24","Midwest Flood","","(314) 772-1788","3147721788","","SKIP — phone disconnected","",""
"25","Restoration Solutions","","(417) 988-5314","4179885314","","2nd call — already spoke to the owner","",""
"26","Mr. Power Clean","","(417) 881-8989","4178818989","","fresh — never called","",""
"27","Water Damage 24","","(501) 408-4062","5014084062","","fresh — never called","",""
"28","Patriot Water Damage","","(918) 800-3372","9188003372","","fresh — never called","",""
"29","McDowell Roofing & Restoration","","(417) 540-3947","4175403947","","fresh — never called","",""
"30","True North Exteriors","","(417) 437-2707","4174372707","","fresh — never called","",""
"31","KennCo Construction","","(417) 881-8147","4178818147","","fresh — never called","",""
"32","Compass Restoration LLC","","(417) 887-4357","4178874357","","fresh — never called","",""
"33","RC Restoration LLC","","(563) 543-3121","5635433121","","fresh — never called","",""
"34","Service Pro Restoration","","(515) 517-1283","5155171283","","fresh — never called","",""
"35","Service Pros (Service Restore Pro)","","(319) 299-2080","3192992080","","fresh — never called","",""
"36","True North Restoration of Iowa (Cedar Valley)","","(319) 220-3228","3192203228","","fresh — never called","",""
"37","Siouxland Restoration Inc","","(712) 481-4325","7124814325","","fresh — never called","",""
"38","Power Restoration of Rockford","","(815) 721-3493","8157213493","","fresh — never called","",""
"39","ProSteam Branson","","(417) 598-2080","4175982080","","fresh — never called","",""
"40","Performance Restoration LLC","","(319) 626-2292","3196262292","","fresh — never called","",""
"41","Srita & Sons Restoration","","(479) 900-2639","4799002639","","fresh — never called","",""
"42","Wall 2 Wall Restoration","Kevin","(479) 252-6650","4792526650","","fresh — never called","",""
"43","Safe Home Restoration of NW Arkansas","Rob Stover & Mike Alley","(479) 257-5960","4792575960","","fresh — never called","",""
"44","RESTORx (Northern Illinois)","Stephen Gitz (President)","(815) 235-9606","8152359606","","fresh — never called","",""
