Order,Company,Ask for,Phone,Dial,Email,Why this one
"1","Premier Restoration","Justin (Owner)","(316) 391-4400","3163914400","","callback owed"
"2","Innovative Cleaning & Restoration LLC","Nick (Owner)","(314) 300-9610","3143009610","Icrestorationllc@gmail.com","callback owed"
"3","13:12 Restoration","","(479) 977-1312","4799771312","","callback owed"
"4","St. Louis Cleaning & Restoration","Family since '91","(314) 439-1665","3144391665","","spoke to the owner"
"5","Mr. Restore","Clint Junell","(877) 631-7576","8776317576","","spoke to the owner"
"6","CLEAN Restoration","Jeff Butler (Owner)","(217) 440-1292","2174401292","","spoke to the owner"
"7","Lake Regional Restoration","Mark VanRonzelen (Founder)","(573) 302-8739","5733028739","","spoke to the owner"
"8","MRC Restoration of Southeast Missouri","Mark Curfman (Founder)","(573) 200-7272","5732007272","","spoke to the owner"
"9","Heartland Flood, Mold & Restoration","Marcus Barnes (PM, not the buyer)","(913) 353-2493","9133532493","marcus@heartlandflood.com","spoke to the owner"
"10","ONIT Cleaning and Restoration","Jacob","(515) 408-2800","5154082800","","spoke to the owner"
"11","McKee Construction & Abatement, LLC","Weston McKee (Owner)","(641) 226-4412","6412264412","","spoke to the owner"
"12","Magna-Dry Central Kansas","Clark family (Owners)","(620) 282-2267","6202822267","","spoke to the owner"
"13","Grethey Rose Construction & Restoration","Victor Grethey & Sue Rose (Owners)","(309) 208-0798","3092080798","","spoke to the owner"
"14","Restoration Solutions","","(417) 988-5314","4179885314","","spoke to the owner"
"15","Ozarks Fire and Water Restoration","","(417) 233-4833","4172334833","","spoke to the owner"
"16","Burlington Restoration Solutions","","(319) 671-6640","3196716640","","spoke to the owner"
"17","Flood Out Restoration","","(903) 235-2969","9032352969","","spoke to the owner"
"18","Lakeshore Restoration LLC","","(920) 221-1440","9202211440","","spoke to the owner"
"19","Pride Cleaning & Restoration","Jim Seubert (Owner)","(314) 668-1223","3146681223","jseubert@priderestoration.com","beat the gatekeeper"
"20","Menold Construction & Restoration","Tom Menold / Steve Driscoll","(309) 263-8728","3092638728","","beat the gatekeeper"
"21","J.J. Swartz Co","Brad Swartz (President)","(217) 877-2611","2178772611","info@jjswartzco.com","beat the gatekeeper"
"22","Leading Edge Restoration","Eric Speakman (Founder)","(618) 694-4568","6186944568","","beat the gatekeeper"
"23","All Clean Restoration Services Inc","Mike Nagy (President/Owner)","(618) 235-3202","6182353202","","beat the gatekeeper"
"24","Chief Restoration Services","Christy & Matthew Brown","(417) 337-3770","4173373770","","beat the gatekeeper"
"25","Certified Water & Mold Restoration","Mike Martin (Owner)","(816) 835-4959","8168354959","mike@cwmrestoration.com","beat the gatekeeper"
"26","Frontier Restoration","Doug Day & Greg Marsden (Owners)","(913) 800-4980","9138004980","","beat the gatekeeper"
"27","Emergency Mitigation Services","Fred Dohogne (Owner & GM)","(913) 773-6777","9137736777","servicerequest@emscleanup.com","beat the gatekeeper"
"28","First Response Restoration","David Shoemaker (Owner)","(913) 839-2051","9138392051","","beat the gatekeeper"
"29","Dubuque Area Steamatic","Jim Denman (Owner)","(563) 556-5821","5635565821","","beat the gatekeeper"
"30","ABC Carpet Cleaning","Kevin Hanneman (Owner) UNVERIFIED","(815) 282-1222","8152821222","","beat the gatekeeper"
"31","Red Carpet Flood Restoration of NE Kansas","Keaton","(785) 766-0439","7857660439","","beat the gatekeeper"
"32","Hoerr Carpet Cleaning and Water Restoration Inc.","Bill Hoerr (Founder/CEO)","(309) 696-1170","3096961170","","beat the gatekeeper"
"33","FloodSERV, Inc.","Damon & Kristi Thompson (Owners)","(918) 429-1911","9184291911","","beat the gatekeeper"
"34","All-Clean USA","Brett Overman (Owner)","(870) 972-1922","8709721922","contact@allcleanusa.com","beat the gatekeeper"
"35","Environmental Resources, Inc.","David & Sherri Henson (Owners)","(618) 471-9119","6184719119","","beat the gatekeeper"
"36","Neville & Sons","Kevin & Tony Neville (Owners)","(573) 442-8280","5734428280","","beat the gatekeeper"
"37","Madison Property Restoration","Randy Schmidt (President)","(608) 467-3360","6084673360","","beat the gatekeeper"
"38","Mold Remediation Kansas City Solutions","","(816) 300-9272","8163009272","hello@moldremediationkansascitymo.com","beat the gatekeeper"
"39","Vital Restoration","Timothy Brown (Owner)","(217) 679-0254","2176790254","","never called"
"40","Tri County Cleaning Systems","Rob Fountain (Owner)","(309) 266-5755","3092665755","info@tricounty-cleaning.com","never called"
"41","Peerless Cleaning & Restoration","Wike family","(217) 423-7704","2174237704","","never called"
"42","Shadco Restoration & Reconstruction","Shadi Khair (Founder)","(314) 600-3001","3146003001","","never called"
"43","Sansara 24/7 Restoration & Remodeling","David Kosanke (Owner) UNVERIFIED","(636) 812-3838","6368123838","sales@sansara247.com","never called"
"44","U.S. Disaster Restoration","Samuel Hubbs (Owner) UNVERIFIED","(573) 552-1972","5735521972","","never called"
"45","Tri Cat Restoration","Jeff Glass (Owner) UNVERIFIED","(417) 200-2018","4172002018","tricatrestoration@gmail.com","never called"
"46","Phoenix Renovation & Restoration","Brad Heise (CEO)","(913) 599-0055","9135990055","","never called"
"47","Repairs Unlimited (RUI Restoration)","Chris Santiago (CEO)","(913) 262-6937","9132626937","","never called"
"48","Restore & More","Mike (Owner)","(913) 247-4379","9132474379","","never called"
"49","Wall 2 Wall Restoration","Kevin","(479) 252-6650","4792526650","","never called"
"50","Safe Home Restoration of NW Arkansas","Rob Stover & Mike Alley","(479) 257-5960","4792575960","","never called"
"51","Simply Clean of the QC","Matt Hamilton (Owner)","(309) 797-7740","3097977740","","never called"
"52","Restore It Restoration LLC","Lonnie A. Beauchamp","(573) 632-9283","5736329283","","never called"
"53","SteamPro Restoration","Family-owned since 1994","(870) 793-4834","8707934834","","never called"
"54","Veteran Restoration","Steven Gern (President)","(469) 521-9511","4695219511","","never called"
"55","Restoration Warriors","Jordan Plunk (Owner)","(903) 278-1120","9032781120","","never called"
"56","CleanWay Restoration & Construction","Nate & Shawn Easley","(800) 570-2320","8005702320","","never called"
"57","Titan Restoration & Cleaning","Robert & Leslie Gamez (Owners)","(940) 782-9211","9407829211","","never called"
"58","Phoenix Restoration Services, Inc.","Dave Salas (Owner)","(620) 276-6994","6202766994","","never called"
"59","Teddy's Cleaning & Restoration LLC","Father-son team","(405) 202-2401","4052022401","","never called"
"60","Pro Clean Restoration & Floor Care","Jesse Callison (President/Owner)","(636) 233-6826","6362336826","","never called"
"61","Sullivan's Cleaning & Restoration","Patrick Sullivan (Owner)","(920) 337-1986","9203371986","","never called"
"62","Mr. Power Clean","","(417) 881-8989","4178818989","","never called"
"63","Water Damage 24","","(501) 408-4062","5014084062","","never called"
"64","Patriot Water Damage","","(918) 800-3372","9188003372","","never called"
"65","Restoration Services (RestorationServicesKC)","","(816) 286-5835","8162865835","joe@restorationserviceskc.com","never called"
"66","B.J.'s Restoration","","(309) 829-1500","3098291500","","never called"
"67","White Construction Co","","(217) 442-7594","2174427594","","never called"
"68","Water Damage Pro of Edwardsville","","(618) 800-3633","6188003633","","never called"
"69","Simpson Restoration LLC","","(417) 759-5117","4177595117","","never called"
"70","Bryant Restoration","","(573) 366-6351","5733666351","","never called"
"71","Greene Planet","","(417) 415-4357","4174154357","","never called"
"72","Beadles Property Maintenance","","(417) 840-3330","4178403330","","never called"
"73","McDowell Roofing & Restoration","","(417) 540-3947","4175403947","","never called"
"74","True North Exteriors","","(417) 437-2707","4174372707","","never called"
"75","KennCo Construction","","(417) 881-8147","4178818147","","never called"
"76","Compass Restoration LLC","","(417) 887-4357","4178874357","","never called"
"77","RC Restoration LLC","","(563) 543-3121","5635433121","","never called"
"78","Service Pro Restoration","","(515) 517-1283","5155171283","","never called"
"79","Service Pros (Service Restore Pro)","","(319) 299-2080","3192992080","","never called"
"80","True North Restoration of Iowa (Cedar Valley)","","(319) 220-3228","3192203228","","never called"
"81","Siouxland Restoration Inc","","(712) 481-4325","7124814325","","never called"
"82","Power Restoration of Rockford","","(815) 721-3493","8157213493","","never called"
"83","ProSteam Branson","","(417) 598-2080","4175982080","","never called"
"84","Performance Restoration LLC","","(319) 626-2292","3196262292","","never called"
"85","Srita & Sons Restoration","","(479) 900-2639","4799002639","","never called"
"86","RESTORx (Northern Illinois)","","(815) 235-9606","8152359606","","never called"
"87","Water Damage Restore","","(515) 420-0411","5154200411","","never called"
"88","Arkansas Restoration Services, Inc.","","(479) 967-2018","4799672018","","never called"
"89","Stover's Restoration, Inc.","","(316) 722-5005","3167225005","","never called"
"90","Schultz Restoration LLC","","(573) 253-8030","5732538030","","never called"
"91","Steam Power Carpet Cleaning","","(217) 585-8620","2175858620","","never called"
"92","Vortex Restoration","Matt & Natalie Inbody","(316) 541-4362","3165414362","","no answer last time"
"93","Fast Restoration","Terry (Owner)","(636) 681-3200","6366813200","","no answer last time"
"94","Kelley Klean","Dennis Thrower (Founder/Owner) UNVERIFIED","(573) 214-0990","5732140990","","no answer last time"
"95","Five One Five Restoration","Damian Baldwin (Owner) UNVERIFIED","(515) 452-1876","5154521876","Contact@515restoration.com","no answer last time"
"96","Cleaning Restoration Services","Family-run","(918) 710-0609","9187100609","","no answer last time"
"97","Kwik Dry LLC","Family-run","(417) 725-6978","4177256978","","no answer last time"
"98","Smoke Services Restoration","Metro East","(618) 234-9696","6182349696","","no answer last time"
"99","Kelley Construction Contractors","Michael Kelley (President)","(309) 346-6604","3093466604","","no answer last time"
"100","Healthy Homes LLC","Caleb Wilson (Owner)","(309) 418-9511","3094189511","","no answer last time"
"101","Freeman General Contracting","Jacob & James Freeman","(217) 442-2281","2174422281","","no answer last time"
"102","Restoration Connection Inc","John Fowler (Owner)","(618) 925-0085","6189250085","","no answer last time"
"103","American Patriot Restoration","Curt (Owner)","(217) 342-3206","2173423206","","no answer last time"
"104","Atlas Restoration Specialists","Brian Mullins (President)","(314) 822-0090","3148220090","","no answer last time"
"105","B&B Restoration","Travis Derrell Burks (Owner)","(573) 443-3507","5734433507","","no answer last time"
"106","Clean Green Restoration","Miles & Tarah McNeill","(417) 300-5062","4173005062","","no answer last time"
"107","4-D Home Solutions","Anthony Decker (Owner)","(417) 531-0635","4175310635","","no answer last time"
"108","Brilliant Cleaning and Restoration","Justin (Owner)","(620) 210-0424","6202100424","","no answer last time"
"109","Ben Davis Restoration","Shad Friend (Founder)","(417) 860-9767","4178609767","","no answer last time"
"110","Dalton Brothers Restoration","Mike Dalton (Owner)","(816) 616-7667","8166167667","","no answer last time"
"111","Kramer Carpet Cleaning","Rob & Russ Kramer","(563) 590-5722","5635905722","","no answer last time"
"112","Chavez Restoration & Cleaning","Dan & Amanda Chavez","(785) 232-3779","7852323779","","no answer last time"
"113","DryHero Water & Mold","Ritch Paprocki (Founder)","(402) 438-2379","4024382379","","no answer last time"
"114","Red River Water Restoration","Andrew Jones & Les Moore (co-founders)","(405) 565-9833","4055659833","","no answer last time"
"115","Dri Right","Clayton Hutson (Owner)","(580) 574-2383","5805742383","","no answer last time"
"116","Disaster Masters, LLC","Jake Yancey (Owner)","(501) 441-4087","5014414087","","no answer last time"
"117","MCC Cleaning & Restoration","Jessica Vieu (Owner)","(314) 443-5044","3144435044","","no answer last time"
"118","Bales Cleaning & Restoration","Larry Martin (Owner)","(636) 498-1000","6364981000","","no answer last time"
"119","Brownies Carpet & Upholstery Cleaning & Water Restoration","Tom & Lisa Brown (Owners)","(920) 788-6852","9207886852","tom@browniescarpetcleaning.com","no answer last time"
"120","Burggraf Disaster","","(918) 584-3737","9185843737","","no answer last time"
"121","Certified Restoration","","(816) 589-6300","8165896300","","no answer last time"
"122","Brown Restoration","","(816) 994-9600","8169949600","","no answer last time"
"123","Advanced Restorations","","(417) 962-8844","4179628844","","no answer last time"
"124","Home Pro Services","","(319) 382-0217","3193820217","","no answer last time"
"125","Werner Restoration Services Inc","","(563) 322-0535","5633220535","","no answer last time"
"126","Brown's Floor Care & Restoration","","(319) 337-7721","3193377721","","no answer last time"
"127","Allied Restoration Service","","(712) 204-0868","7122040868","","no answer last time"
"128","On Call Restoration (CIFAL USA)","","(573) 240-8283","5732408283","","no answer last time"
"129","McMahill & Sons Construction","","(309) 676-2597","3096762597","","no answer last time"
"130","Illinois Home Solutions","","(309) 300-2112","3093002112","","no answer last time"
"131","Mustang Disaster CleanUp","","(515) 620-3772","5156203772","","no answer last time"
"132","Clinton Water Damage Pro","","(563) 503-6066","5635036066","","no answer last time"
"133","ARS Restoration (Ark-La-Tex)","","(903) 832-3389","9038323389","","no answer last time"
"134","Murphree Restoration Inc","","(785) 357-5335","7853575335","","no answer last time"
"135","Extremely Clean","","(402) 932-3257","4029323257","","no answer last time"
"136","EnteX Cleaning & Restoration Inc.","","(816) 233-5557","8162335557","","no answer last time"
"137","X-Treme Carpet Cleaning","","(618) 451-8044","6184518044","","no answer last time"
"138","In-Tech Carpet Cleaning & Disaster Restoration","","(417) 257-2493","4172572493","","no answer last time"
"139","Chem-Care Carpet and Upholstery Cleaning","","(217) 525-2233","2175252233","","no answer last time"
"140","Armada Disaster Solutions","","(855) 527-6232","8555276232","","no answer last time"
"141","Alpha One Restore","","(972) 363-9577","9723639577","","no answer last time"
"142","Omaha Damage Repair","Jonathan Waterman (Founder) UNVERIFIED","(402) 704-4921","4027044921","","other"
"143","ABC Environmental","Dan Benton (Co-Owner)","(573) 928-2668","5739282668","","other"
"144","American Hometown Services","Samuel P. Johnson (President) UNVERIFIED","(217) 228-7563","2172287563","","other"
"145","Crown Restoration","Jeff Weiler & Cory Wohldmann (Co-Owners)","(636) 544-1330","6365441330","info@crmo.us","other"
"146","Dalmation Cleaning and Restoration","Tara Stolle (Owner)","(314) 423-0101","3144230101","","other"
"147","Fast Help (Suntide Companies)","Joe Gaterman (Owner, Suntide Companies) UNVERIFIED","(314) 558-5599","3145585599","","other"
"148","Mold Solutions (St. Louis)","Bob Ayres (President) UNVERIFIED","(314) 993-6653","3149936653","","other"
"149","Century Restoration & Construction","Quentin Sandusky (President)","(314) 487-5000","3144875000","info@centuryrestores.com","other"
"150","RCC Restoration","Dereck Green & Scott Green (Co-Owners)","(618) 406-5121","6184065121","service@rccrestore.com","other"
"151","Missouri Restoration & Construction LLC","Mark Canine (Owner)","(573) 474-1788","5734741788","","other"
"152","AAS Restoration & Roofing","Stephen Storts (President)","(816) 861-1550","8168611550","","other"
"153","Blumer Restoration","Jacob M. Blumer (Owner)","(309) 235-2992","3092352992","Blumerrestoration@gmail.com","other"
"154","Blaze Restoration Inc","Michael Simons (President)","(563) 324-4741","5633244741","mail@blazeinc.com","other"
"155","Americlean of Iowa","Christine Wehmeyer (President) UNVERIFIED","(319) 354-4577","3193544577","","other"
"156","Hambly & Sons Cleaning & Restoration","Brant Hambly (Co-Owner) UNVERIFIED","(319) 266-1629","3192661629","","other"
"157","Midwest Restoration Pros LLC","Donald Sears (Owner/Operator) UNVERIFIED","(314) 221-9640","3142219640","","other"
"158","Advantage Kwik-Dry (Flood Pros division)","Mickey Bennett (President) UNVERIFIED","(815) 398-2379","8153982379","","other"
"159","Butler Plumbing & Restoration","Owner TBD (entity: TB Enterprises of Wichita LLC)","(316) 682-4034","3166824034","info@butlerrestoration.com","other"
"160","Absolute Clean & Restoration Inc","Scott & Stacy Ross (Owners)","(618) 402-8225","6184028225","absolutecleanpres@gmail.com","other"
